mobility_key,province,subregion,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,date
487,Ontario,Regional Municipality of Peel,-46,-25,-38,-72,-48,23,1/29/2021
488,Ontario,Regional Municipality of Peel,-44,-16,7,-69,-17,13,1/30/2021
489,Ontario,Regional Municipality of Peel,-47,-24,-22,-73,-23,10,1/31/2021
490,Ontario,Regional Municipality of Peel,-47,-25,-35,-73,-50,21,2/1/2021
491,Ontario,Regional Municipality of Peel,-47,-22,-36,-72,-49,21,2/2/2021
492,Ontario,Regional Municipality of Peel,-45,-21,-19,-73,-49,21,2/3/2021
493,Ontario,Regional Municipality of Peel,-43,-16,-8,-72,-48,21,2/4/2021
494,Ontario,Regional Municipality of Peel,-48,-28,-43,-73,-49,23,2/5/2021
495,Ontario,Regional Municipality of Peel,-45,-19,-26,-71,-17,13,2/6/2021
496,Ontario,Regional Municipality of York,-21,5,115,-54,-45,17,10/6/2020
497,Ontario,Regional Municipality of York,-20,2,59,-57,-45,18,10/7/2020
498,Ontario,Regional Municipality of York,-19,9,85,-54,-43,17,10/8/2020
499,Ontario,Regional Municipality of York,-19,13,122,-50,-42,15,10/9/2020
500,Ontario,Regional Municipality of York,-23,9,213,-33,-5,6,10/10/2020
501,Ontario,Regional Municipality of York,-23,6,204,-40,-7,4,10/11/2020
502,Ontario,Regional Municipality of York,-45,-35,201,-73,-83,26,10/12/2020
503,Ontario,Regional Municipality of York,-21,8,140,-55,-45,17,10/13/2020
504,Ontario,Regional Municipality of York,-18,5,128,-55,-44,18,10/14/2020
505,Ontario,Regional Municipality of York,-23,-1,13,-59,-44,19,10/15/2020
506,Ontario,Regional Municipality of York,-19,4,97,-52,-40,17,10/16/2020
507,Ontario,Regional Municipality of York,-17,8,253,-33,-1,6,10/17/2020
508,Ontario,Regional Municipality of York,-20,-1,104,-47,-5,7,10/18/2020
509,Ontario,Regional Municipality of York,-27,-4,47,-58,-45,18,10/19/2020
510,Ontario,Regional Municipality of York,-26,3,91,-57,-45,18,10/20/2020
511,Ontario,Regional Municipality of York,-26,0,72,-59,-45,19,10/21/2020
512,Ontario,Regional Municipality of York,-26,2,59,-57,-43,19,10/22/2020
513,Ontario,Regional Municipality of York,-27,0,160,-51,-41,17,10/23/2020
514,Ontario,Regional Municipality of York,-27,5,142,-38,-5,8,10/24/2020
515,Ontario,Regional Municipality of York,-29,-1,127,-45,-8,7,10/25/2020
516,Ontario,Regional Municipality of York,-26,-2,62,-58,-44,18,10/26/2020
517,Ontario,Regional Municipality of York,-30,-2,15,-58,-44,19,10/27/2020
518,Ontario,Regional Municipality of York,-23,4,92,-56,-44,18,10/28/2020
519,Ontario,Regional Municipality of York,-25,4,34,-58,-43,19,10/29/2020
520,Ontario,Regional Municipality of York,-27,3,22,-55,-41,18,10/30/2020
521,Ontario,Regional Municipality of York,-26,9,138,-33,-5,7,10/31/2020
522,Ontario,Regional Municipality of York,-32,-3,-2,-52,-12,9,11/1/2020
523,Ontario,Regional Municipality of York,-28,-6,13,-60,-44,19,11/2/2020
524,Ontario,Regional Municipality of York,-29,0,31,-59,-45,19,11/3/2020
525,Ontario,Regional Municipality of York,-25,0,107,-56,-44,18,11/4/2020
526,Ontario,Regional Municipality of York,-26,1,88,-57,-42,18,11/5/2020
527,Ontario,Regional Municipality of York,-27,0,114,-55,-40,18,11/6/2020
528,Ontario,Regional Municipality of York,-20,3,265,-35,-2,6,11/7/2020
529,Ontario,Regional Municipality of York,-21,0,268,-41,-5,5,11/8/2020
530,Ontario,Regional Municipality of York,-21,-2,140,-56,-43,17,11/9/2020
531,Ontario,Regional Municipality of York,-22,2,143,-56,-43,17,11/10/2020
532,Ontario,Regional Municipality of York,-17,4,88,-58,-45,18,11/11/2020
533,Ontario,Regional Municipality of York,-22,4,70,-58,-42,18,11/12/2020
534,Ontario,Regional Municipality of York,-23,0,38,-57,-43,19,11/13/2020
535,Ontario,Regional Municipality of York,-22,4,140,-41,-3,8,11/14/2020
536,Ontario,Regional Municipality of York,-33,-13,-20,-57,-12,10,11/15/2020
537,Ontario,Regional Municipality of York,-25,-5,18,-62,-44,19,11/16/2020
538,Ontario,Regional Municipality of York,-28,-4,13,-62,-44,20,11/17/2020
539,Ontario,Regional Municipality of York,-26,-3,10,-61,-45,20,11/18/2020
540,Ontario,Regional Municipality of York,-23,2,49,-60,-42,19,11/19/2020
541,Ontario,Regional Municipality of York,-22,2,89,-56,-41,18,11/20/2020
542,Ontario,Regional Municipality of York,-22,7,66,-42,-4,9,11/21/2020
543,Ontario,Regional Municipality of York,-39,-21,2,-57,-16,11,11/22/2020
544,Ontario,Regional Municipality of York,-24,-5,21,-62,-46,20,11/23/2020
545,Ontario,Regional Municipality of York,-24,-1,7,-63,-45,20,11/24/2020
546,Ontario,Regional Municipality of York,-22,-2,1,-62,-45,21,11/25/2020
547,Ontario,Regional Municipality of York,-19,6,26,-60,-43,20,11/26/2020
548,Ontario,Regional Municipality of York,-20,3,24,-58,-42,19,11/27/2020
549,Ontario,Regional Municipality of York,-20,9,116,-40,-5,9,11/28/2020
550,Ontario,Regional Municipality of York,-22,1,134,-47,-11,8,11/29/2020
551,Ontario,Regional Municipality of York,-22,-4,-12,-63,-45,20,11/30/2020
552,Ontario,Regional Municipality of York,-34,-12,1,-64,-48,22,12/1/2020
553,Ontario,Regional Municipality of York,-20,4,20,-60,-45,20,12/2/2020
554,Ontario,Regional Municipality of York,-21,7,25,-60,-43,20,12/3/2020
555,Ontario,Regional Municipality of York,-25,-2,0,-60,-42,21,12/4/2020
556,Ontario,Regional Municipality of York,-21,8,50,-42,-7,10,12/5/2020
557,Ontario,Regional Municipality of York,-23,2,59,-52,-13,9,12/6/2020
558,Ontario,Regional Municipality of York,-20,-2,19,-61,-45,19,12/7/2020
559,Ontario,Regional Municipality of York,-23,2,18,-61,-44,20,12/8/2020
560,Ontario,Regional Municipality of York,-25,-5,10,-60,-46,21,12/9/2020
561,Ontario,Regional Municipality of York,-19,7,19,-59,-43,20,12/10/2020
562,Ontario,Regional Municipality of York,-19,10,27,-57,-41,19,12/11/2020
563,Ontario,Regional Municipality of York,-19,10,5,-42,-7,11,12/12/2020
564,Ontario,Regional Municipality of York,-16,9,39,-47,-9,9,12/13/2020
565,Ontario,Regional Municipality of York,-36,-5,17,-64,-46,20,12/14/2020
566,Ontario,Regional Municipality of York,-36,-2,8,-63,-47,21,12/15/2020
567,Ontario,Regional Municipality of York,-36,-5,-15,-65,-47,22,12/16/2020
568,Ontario,Regional Municipality of York,-33,6,9,-63,-45,21,12/17/2020
569,Ontario,Regional Municipality of York,-35,1,9,-61,-44,21,12/18/2020
570,Ontario,Regional Municipality of York,-42,-3,41,-49,-15,12,12/19/2020
571,Ontario,Regional Municipality of York,-42,-6,32,-57,-19,11,12/20/2020
572,Ontario,Regional Municipality of York,-24,14,36,-64,-53,20,12/21/2020
573,Ontario,Regional Municipality of York,-24,26,25,-64,-54,21,12/22/2020
574,Ontario,Regional Municipality of York,-15,45,36,-62,-55,21,12/23/2020
575,Ontario,Regional Municipality of York,-30,36,-1,-70,-68,26,12/24/2020
576,Ontario,Regional Municipality of York,-83,-76,49,-83,-89,35,12/25/2020
577,Ontario,Regional Municipality of York,-64,-42,84,-66,-48,17,12/26/2020
578,Ontario,Regional Municipality of York,-51,-21,85,-63,-27,12,12/27/2020
579,Ontario,Regional Municipality of York,-41,-3,35,-77,-76,29,12/28/2020
580,Ontario,Regional Municipality of York,-37,6,48,-71,-65,26,12/29/2020
581,Ontario,Regional Municipality of York,-35,15,0,-72,-65,27,12/30/2020
582,Ontario,Regional Municipality of York,-32,26,35,-73,-69,27,12/31/2020
583,Ontario,Regional Municipality of York,-77,-70,44,-86,-88,37,1/1/2021
584,Ontario,Regional Municipality of York,-55,-20,102,-62,-35,16,1/2/2021
585,Ontario,Regional Municipality of York,-55,-23,62,-66,-28,13,1/3/2021
586,Ontario,Regional Municipality of York,-44,-11,17,-69,-53,23,1/4/2021
587,Ontario,Regional Municipality of York,-45,-11,11,-67,-53,24,1/5/2021
588,Ontario,Regional Municipality of York,-45,-13,8,-68,-53,25,1/6/2021
589,Ontario,Regional Municipality of York,-45,-9,25,-67,-52,25,1/7/2021
590,Ontario,Regional Municipality of York,-48,-16,9,-67,-50,25,1/8/2021
591,Ontario,Regional Municipality of York,-48,-9,114,-55,-18,14,1/9/2021
592,Ontario,Regional Municipality of York,-52,-19,71,-64,-23,12,1/10/2021
593,Ontario,Regional Municipality of York,-47,-19,12,-69,-52,24,1/11/2021
594,Ontario,Regional Municipality of York,-47,-12,0,-69,-53,24,1/12/2021
595,Ontario,Regional Municipality of York,-44,-8,8,-68,-53,24,1/13/2021
596,Ontario,Regional Municipality of York,-55,-24,7,-70,-55,26,1/14/2021
597,Ontario,Regional Municipality of York,-54,-26,-14,-71,-54,27,1/15/2021
598,Ontario,Regional Municipality of York,-55,-18,105,-62,-24,15,1/16/2021
599,Ontario,Regional Municipality of York,-57,-27,45,-69,-29,14,1/17/2021
600,Ontario,Regional Municipality of York,-52,-24,13,-71,-56,24,1/18/2021
601,Ontario,Regional Municipality of York,-52,-21,-3,-71,-56,25,1/19/2021
602,Ontario,Regional Municipality of York,-51,-23,-12,-71,-56,26,1/20/2021
603,Ontario,Regional Municipality of York,-50,-17,2,-70,-54,26,1/21/2021
604,Ontario,Regional Municipality of York,-52,-21,-16,-70,-53,26,1/22/2021
605,Ontario,Regional Municipality of York,-52,-15,50,-60,-22,15,1/23/2021
606,Ontario,Regional Municipality of York,-56,-22,44,-67,-27,13,1/24/2021
607,Ontario,Regional Municipality of York,-49,-19,29,-70,-55,24,1/25/2021
608,Ontario,Regional Municipality of York,-60,-37,-18,-72,-58,27,1/26/2021
609,Ontario,Regional Municipality of York,-48,-16,9,-70,-55,25,1/27/2021
610,Ontario,Regional Municipality of York,-49,-18,-17,-71,-54,26,1/28/2021
611,Ontario,Regional Municipality of York,-51,-21,-21,-70,-52,26,1/29/2021
612,Ontario,Regional Municipality of York,-49,-12,102,-61,-20,14,1/30/2021
613,Ontario,Regional Municipality of York,-53,-20,50,-68,-26,13,1/31/2021
614,Ontario,Regional Municipality of York,-46,-18,17,-71,-55,24,2/1/2021
615,Ontario,Regional Municipality of York,-49,-17,-2,-71,-55,25,2/2/2021
616,Ontario,Regional Municipality of York,-47,-17,13,-72,-55,25,2/3/2021
617,Ontario,Regional Municipality of York,-47,-12,45,-70,-54,25,2/4/2021
618,Ontario,Regional Municipality of York,-51,-23,-24,-71,-52,26,2/5/2021
619,Ontario,Regional Municipality of York,-50,-11,28,-63,-20,15,2/6/2021
620,Ontario,Toronto Division,-33,-6,39,-53,-47,15,10/6/2020
621,Ontario,Toronto Division,-34,-9,12,-55,-47,17,10/7/2020
622,Ontario,Toronto Division,-33,-3,14,-53,-46,17,10/8/2020
623,Ontario,Toronto Division,-31,1,40,-50,-45,15,10/9/2020
624,Ontario,Toronto Division,-35,-4,68,-39,-9,5,10/10/2020
625,Ontario,Toronto Division,-34,-5,48,-40,-12,3,10/11/2020
626,Ontario,Toronto Division,-66,-54,52,-75,-82,24,10/12/2020
627,Ontario,Toronto Division,-36,-2,51,-53,-49,16,10/13/2020
628,Ontario,Toronto Division,-36,-8,36,-54,-47,17,10/14/2020
629,Ontario,Toronto Division,-41,-13,-30,-56,-48,20,10/15/2020
630,Ontario,Toronto Division,-36,-5,32,-51,-45,17,10/16/2020
631,Ontario,Toronto Division,-31,-5,91,-37,-8,6,10/17/2020
632,Ontario,Toronto Division,-35,-12,39,-42,-15,7,10/18/2020
633,Ontario,Toronto Division,-40,-13,-18,-57,-49,18,10/19/2020
634,Ontario,Toronto Division,-36,-7,25,-54,-48,17,10/20/2020
635,Ontario,Toronto Division,-38,-12,12,-55,-48,19,10/21/2020
636,Ontario,Toronto Division,-38,-7,5,-54,-46,19,10/22/2020
637,Ontario,Toronto Division,-35,-8,69,-50,-45,16,10/23/2020
638,Ontario,Toronto Division,-33,-5,49,-38,-9,7,10/24/2020
639,Ontario,Toronto Division,-34,-11,30,-41,-15,6,10/25/2020
640,Ontario,Toronto Division,-39,-11,0,-56,-48,17,10/26/2020
641,Ontario,Toronto Division,-41,-14,-18,-56,-48,18,10/27/2020
642,Ontario,Toronto Division,-34,-6,25,-54,-46,17,10/28/2020
643,Ontario,Toronto Division,-37,-7,-8,-55,-46,18,10/29/2020
644,Ontario,Toronto Division,-37,-6,-10,-53,-45,17,10/30/2020
645,Ontario,Toronto Division,-31,-2,47,-36,-8,6,10/31/2020
646,Ontario,Toronto Division,-38,-12,-23,-45,-17,7,11/1/2020
647,Ontario,Toronto Division,-39,-13,-23,-57,-48,18,11/2/2020
648,Ontario,Toronto Division,-39,-10,-8,-55,-47,17,11/3/2020
649,Ontario,Toronto Division,-36,-11,34,-54,-47,18,11/4/2020
650,Ontario,Toronto Division,-36,-8,25,-54,-45,18,11/5/2020
651,Ontario,Toronto Division,-35,-8,46,-51,-44,17,11/6/2020
652,Ontario,Toronto Division,-29,-6,112,-33,-7,6,11/7/2020
653,Ontario,Toronto Division,-28,-8,115,-36,-11,4,11/8/2020
654,Ontario,Toronto Division,-36,-10,45,-55,-47,17,11/9/2020
655,Ontario,Toronto Division,-34,-7,63,-53,-46,16,11/10/2020
656,Ontario,Toronto Division,-35,-9,25,-56,-48,18,11/11/2020
657,Ontario,Toronto Division,-37,-6,11,-55,-45,18,11/12/2020
658,Ontario,Toronto Division,-38,-8,-4,-53,-45,18,11/13/2020
659,Ontario,Toronto Division,-33,-5,43,-41,-10,8,11/14/2020
660,Ontario,Toronto Division,-44,-22,-40,-51,-19,9,11/15/2020
661,Ontario,Toronto Division,-40,-14,-23,-59,-48,18,11/16/2020
662,Ontario,Toronto Division,-41,-13,-22,-58,-48,18,11/17/2020
663,Ontario,Toronto Division,-41,-15,-23,-59,-48,19,11/18/2020
664,Ontario,Toronto Division,-37,-8,3,-57,-46,19,11/19/2020
665,Ontario,Toronto Division,-34,-5,33,-54,-47,18,11/20/2020
666,Ontario,Toronto Division,-30,-2,11,-41,-8,8,11/21/2020
667,Ontario,Toronto Division,-42,-23,-34,-49,-17,9,11/22/2020
668,Ontario,Toronto Division,-51,-21,-28,-62,-50,20,11/23/2020
669,Ontario,Toronto Division,-49,-18,-25,-62,-50,20,11/24/2020
670,Ontario,Toronto Division,-49,-21,-30,-62,-49,21,11/25/2020
671,Ontario,Toronto Division,-44,-10,-9,-60,-48,20,11/26/2020
672,Ontario,Toronto Division,-45,-14,-8,-59,-47,20,11/27/2020
673,Ontario,Toronto Division,-43,-11,34,-49,-14,10,11/28/2020
674,Ontario,Toronto Division,-43,-15,42,-50,-19,8,11/29/2020
675,Ontario,Toronto Division,-48,-24,-49,-63,-50,20,11/30/2020
676,Ontario,Toronto Division,-51,-20,-28,-61,-51,21,12/1/2020
677,Ontario,Toronto Division,-46,-13,-16,-60,-49,20,12/2/2020
678,Ontario,Toronto Division,-45,-10,-13,-59,-48,20,12/3/2020
679,Ontario,Toronto Division,-49,-18,-30,-60,-48,21,12/4/2020
680,Ontario,Toronto Division,-45,-10,4,-49,-15,10,12/5/2020
681,Ontario,Toronto Division,-47,-16,9,-52,-21,8,12/6/2020
682,Ontario,Toronto Division,-48,-17,-23,-62,-49,19,12/7/2020
683,Ontario,Toronto Division,-47,-15,-14,-61,-49,19,12/8/2020
684,Ontario,Toronto Division,-50,-21,-29,-62,-50,21,12/9/2020
685,Ontario,Toronto Division,-46,-10,-13,-60,-48,20,12/10/2020
686,Ontario,Toronto Division,-45,-11,4,-58,-47,20,12/11/2020
687,Ontario,Toronto Division,-50,-18,-33,-55,-18,12,12/12/2020
688,Ontario,Toronto Division,-46,-14,2,-52,-20,8,12/13/2020
689,Ontario,Toronto Division,-47,-14,-23,-62,-50,19,12/14/2020
690,Ontario,Toronto Division,-46,-12,-22,-61,-50,19,12/15/2020
691,Ontario,Toronto Division,-49,-20,-42,-64,-50,21,12/16/2020
692,Ontario,Toronto Division,-45,-8,-21,-60,-49,21,12/17/2020
693,Ontario,Toronto Division,-45,-10,-12,-59,-48,20,12/18/2020
694,Ontario,Toronto Division,-46,-10,-6,-51,-16,11,12/19/2020
695,Ontario,Toronto Division,-45,-14,-5,-52,-20,9,12/20/2020
696,Ontario,Toronto Division,-39,-1,-4,-62,-54,19,12/21/2020
697,Ontario,Toronto Division,-37,7,-6,-61,-55,18,12/22/2020
698,Ontario,Toronto Division,-32,19,1,-60,-55,18,12/23/2020
699,Ontario,Toronto Division,-40,16,-30,-67,-67,23,12/24/2020
700,Ontario,Toronto Division,-84,-74,-2,-84,-86,32,12/25/2020
701,Ontario,Toronto Division,-68,-44,-1,-67,-43,15,12/26/2020
702,Ontario,Toronto Division,-56,-29,12,-60,-27,10,12/27/2020
703,Ontario,Toronto Division,-52,-16,-15,-75,-74,27,12/28/2020
704,Ontario,Toronto Division,-47,-8,5,-68,-64,23,12/29/2020
705,Ontario,Toronto Division,-47,-6,-33,-69,-64,25,12/30/2020
706,Ontario,Toronto Division,-41,11,5,-68,-67,25,12/31/2020
707,Ontario,Toronto Division,-80,-71,-4,-84,-86,34,1/1/2021
708,Ontario,Toronto Division,-58,-23,14,-62,-32,15,1/2/2021
709,Ontario,Toronto Division,-58,-27,-9,-61,-27,12,1/3/2021
710,Ontario,Toronto Division,-53,-18,-22,-66,-55,22,1/4/2021
711,Ontario,Toronto Division,-53,-17,-21,-66,-55,22,1/5/2021
712,Ontario,Toronto Division,-54,-21,-23,-67,-55,23,1/6/2021
713,Ontario,Toronto Division,-53,-15,-12,-66,-54,24,1/7/2021
714,Ontario,Toronto Division,-55,-20,-19,-66,-53,24,1/8/2021
715,Ontario,Toronto Division,-51,-14,28,-57,-20,13,1/9/2021
716,Ontario,Toronto Division,-54,-21,6,-60,-25,11,1/10/2021
717,Ontario,Toronto Division,-55,-22,-25,-68,-55,22,1/11/2021
718,Ontario,Toronto Division,-55,-20,-27,-68,-55,22,1/12/2021
719,Ontario,Toronto Division,-53,-18,-23,-68,-55,22,1/13/2021
720,Ontario,Toronto Division,-61,-27,-25,-70,-57,25,1/14/2021
721,Ontario,Toronto Division,-60,-29,-32,-70,-57,25,1/15/2021
722,Ontario,Toronto Division,-57,-21,22,-63,-26,14,1/16/2021
723,Ontario,Toronto Division,-59,-28,0,-64,-30,12,1/17/2021
724,Ontario,Toronto Division,-59,-28,-22,-70,-58,23,1/18/2021
725,Ontario,Toronto Division,-59,-27,-27,-70,-58,23,1/19/2021
726,Ontario,Toronto Division,-59,-30,-34,-71,-58,25,1/20/2021
727,Ontario,Toronto Division,-57,-22,-21,-70,-56,24,1/21/2021
728,Ontario,Toronto Division,-58,-25,-33,-69,-56,25,1/22/2021
729,Ontario,Toronto Division,-55,-19,-2,-62,-25,14,1/23/2021
730,Ontario,Toronto Division,-58,-26,-6,-64,-29,11,1/24/2021
731,Ontario,Toronto Division,-57,-24,-12,-70,-57,23,1/25/2021
732,Ontario,Toronto Division,-66,-41,-37,-71,-59,25,1/26/2021
733,Ontario,Toronto Division,-57,-24,-22,-69,-57,24,1/27/2021
734,Ontario,Toronto Division,-58,-25,-38,-70,-56,25,1/28/2021
735,Ontario,Toronto Division,-57,-24,-38,-69,-56,25,1/29/2021
736,Ontario,Toronto Division,-53,-15,20,-61,-23,13,1/30/2021
737,Ontario,Toronto Division,-57,-25,-17,-64,-28,11,1/31/2021
738,Ontario,Toronto Division,-57,-25,-32,-70,-57,23,2/1/2021
739,Ontario,Toronto Division,-57,-24,-29,-70,-57,23,2/2/2021
740,Ontario,Toronto Division,-56,-24,-17,-70,-56,23,2/3/2021
741,Ontario,Toronto Division,-54,-17,-2,-69,-55,23,2/4/2021
742,Ontario,Toronto Division,-58,-27,-42,-70,-55,25,2/5/2021
743,Ontario,Toronto Division,-55,-19,-22,-63,-23,14,2/6/2021
